CustomerID,Age,Annual Income (k$),Spending Score (1-100)
1,56,84,18
2,69,86,25
3,46,41,95
4,32,23,54
5,60,76,58
6,25,51,67
7,38,111,46
8,56,65,24
9,36,58,32
10,40,38,47
11,28,93,86
12,28,73,23
13,41,46,66
14,53,110,27
15,57,102,2
16,41,119,90
17,20,66,17
18,39,76,33
19,19,72,9
20,41,66,43
21,61,26,48
22,47,53,39
23,55,16,93
24,19,17,42
25,38,115,26
26,50,70,99
27,29,95,50
28,39,73,25
29,61,16,24
30,42,16,13
31,66,106,60
32,44,68,7
33,59,101,57
34,45,115,36
35,33,110,45
36,32,111,20
37,64,15,65
38,68,33,8
39,61,16,16
40,69,67,14
41,20,58,76
42,54,104,87
43,68,46,15
44,24,84,92
45,38,46,98
46,26,82,66
47,56,69,32
48,35,89,87
49,21,70,63
50,42,31,86
51,31,52,51
52,67,38,25
53,26,83,58
54,43,112,63
55,19,84,62
56,37,100,22
57,45,25,58
58,64,30,58
59,24,111,86
60,61,87,49
61,25,73,52
62,64,84,42
63,52,94,70
64,31,107,15
65,34,17,54
66,53,34,60
67,67,73,97
68,57,50,8
69,21,33,53
70,19,104,60
71,23,81,5
72,59,33,68
73,21,34,6
74,46,110,96
75,35,85,94
76,43,66,47
77,61,119,99
78,51,47,55
79,27,54,40
80,53,53,52
81,31,96,16
82,48,118,13
83,65,15,30
84,32,25,19
85,25,106,17
86,31,71,63
87,40,103,19
88,57,64,92
89,38,37,58
90,33,45,55
91,62,108,90
92,35,56,90
93,64,113,62
94,41,21,23
95,43,30,9
96,42,104,12
97,62,74,1
98,58,16,58
99,46,15,1
100,32,62,34
101,62,26,96
102,18,83,48
103,42,51,89
104,24,46,1
105,26,23,16
106,41,119,61
107,18,113,64
108,61,33,63
109,25,62,69
110,41,94,22
111,28,17,93
112,68,34,67
113,34,38,76
114,25,68,26
115,52,47,16
116,52,38,51
117,50,89,86
118,22,86,57
119,59,50,29
120,56,52,78
121,58,118,92
122,45,98,69
123,24,113,47
124,26,103,94
125,25,113,62
126,29,39,69
127,51,107,76
128,50,32,16
129,65,96,90
130,40,80,90
131,41,68,48
132,54,49,85
133,52,94,39
134,61,75,33
135,57,55,94
136,39,114,23
137,44,47,10
138,52,82,69
139,18,47,34
140,52,28,52
141,54,35,95
142,64,62,10
143,31,34,19
144,20,22,58
145,18,21,96
146,22,81,1
147,43,31,69
148,31,47,4
149,56,62,16
150,44,90,24
151,26,73,80
152,32,100,2
153,32,36,92
154,43,44,32
155,59,52,91
156,30,116,84
157,68,65,24
158,49,68,12
159,56,22,50
160,66,41,35
161,69,41,33
162,49,112,33
163,21,35,61
164,47,44,51
165,54,111,43
166,40,42,12
167,56,78,67
168,62,111,65
169,32,83,33
170,60,75,40
171,46,62,74
172,53,33,43
173,30,18,44
174,49,49,29
175,24,78,13
176,68,63,12
177,39,31,95
178,45,58,46
179,19,106,2
180,59,44,35
181,62,107,87
182,23,60,81
183,45,20,90
184,45,113,8
185,61,119,93
186,61,51,26
187,37,38,74
188,47,107,90
189,28,60,34
190,45,67,7
191,42,109,68
192,56,113,58
193,50,74,75
194,18,111,29
195,44,77,36
196,69,99,89
197,30,46,21
198,58,101,36
199,20,47,10
200,56,81,73
